

AGRICULTURAL CENSUS , 2005-06,,,,,
TABLE 6 B : ESTIMATED IRRIGATED AND UNIRRIGATED AREA BY SIZE CLASSES UNDER CROP  ALL CROPS,,,,,
STATE : A & N ISLANDS,,DISTRICT :  ANDAMAN,, SOCIAL GROUP :  ALL SOCIAL GROUPS,
NUMBER IN  ABSOLUTE UNITS,,AREA IN  HECTARES,,,
Sl No,Size Class(HA),No. of Holdings,Irrigated Area,Unirrigated Area ,Total Area
(1),(2),(3),(4),(5),(6)
 1,Below 0.5,2870,0,178,178
2,0.5 - 1.0,2761,0,631,631
 ,MARGINAL,5631,0,809,809
3,1.0 - 2.0,3564,0,1496,1496
 ,SMALL,3564,0,1496,1496
4,2.0 - 3.0,3454,0,1753,1753
5,3.0 - 4.0,795,0,459,459
 ,SEMIMEDIUM,4249,0,2212,2212
6,4.0 - 5.0,453,0,306,306
7,5.0 - 7.5,166,0,145,145
8,7.5 - 10.0,81,0,85,85
 ,MEDIUM,700,0,536,536
9,10.0 - 20.0,20,0,63,63
10,20.0 & ABOVE,28,0,892,892
 ,LARGE,48,0,955,955
11,ALL CLASSES,14192,0,6009,6009
Note: Total May not Tally Due to Rounding off,,,,,Neg:-Negligible



