

AGRICULTURAL CENSUS , 1995-96,,,,,
TABLE 6 B : ESTIMATED IRRIGATED AND UNIRRIGATED AREA BY SIZE CLASSES UNDER CROP  PADDY,,,,,
STATE : A & N ISLANDS,,DISTRICT :  ANDAMAN,, SOCIAL GROUP :  ALL SOCIAL GROUPS,
NUMBER IN  ABSOLUTE UNITS,,AREA IN  HECTARES,,,
Sl No,Size Class(HA),No. of Holdings,Irrigated Area,Unirrigated Area ,Total Area
(1),(2),(3),(4),(5),(6)
 1,Below 0.5,326,0,76,76
2,0.5 - 1.0,527,0,307,307
 ,MARGINAL,853,0,383,383
3,1.0 - 2.0,1631,0,1822,1822
 ,SMALL,1631,0,1822,1822
4,2.0 - 3.0,1739,0,2637,2637
5,3.0 - 4.0,769,0,1371,1371
 ,SEMIMEDIUM,2508,0,4008,4008
6,4.0 - 5.0,1855,0,3418,3418
7,5.0 - 7.5,46,0,119,119
8,7.5 - 10.0,9,0,33,33
 ,MEDIUM,1910,0,3570,3570
9,10.0 - 20.0,6,0,31,31
10,20.0 & ABOVE,5,0,41,41
 ,LARGE,11,0,72,72
11,ALL CLASSES,6913,0,9855,9855
Note: Total May not Tally Due to Rounding off,,,,,Neg:-Negligible



